dim,multigrid_converged,multigrid_time,multigrid_iterations,standard_converged,standard_time,standard_iterations,relaxed_converged,relaxed_time,relaxed_iterations
16,1,10.358799457550049,6,1,22.12504506111145,200,1,0.038750648498535156,200
32,1,0.1157236099243164,7,1,0.04716372489929199,700,1,0.08382034301757812,800
64,1,0.1441209316253662,7,1,0.12607765197753906,2600,1,0.27041149139404297,3300
128,1,0.15747570991516113,6,1,0.45896410942077637,10500,1,0.9981012344360352,12900
256,1,0.19238710403442383,6,1,4.629770040512085,41700,1,9.239224195480347,51400
512,1,0.22325801849365234,6,1,64.91690039634705,166700,1,132.49385738372803,205500
1024,1,0.38486170768737793,6,0,0.0,0,0,0.0,0
2048,1,0.9127802848815918,6,0,0.0,0,0,0.0,0
16,1,0.08879947662353516,6,1,0.02604818344116211,200,1,0.03758502006530762,200
32,1,0.1108698844909668,7,1,0.04715704917907715,700,1,0.08451223373413086,800
64,1,0.1416950225830078,7,1,0.12587428092956543,2600,1,0.27052879333496094,3300
128,1,0.14772725105285645,6,1,0.458188533782959,10500,1,0.9905505180358887,12900
256,1,0.19334650039672852,6,1,4.636913537979126,41700,1,9.250946283340454,51400
512,1,0.2418198585510254,6,1,64.90210485458374,166700,1,132.4941384792328,205500
1024,1,0.3887813091278076,6,0,0.0,0,0,0.0,0
2048,1,0.8875911235809326,6,0,0.0,0,0,0.0,0
16,1,0.08993315696716309,6,1,0.02630782127380371,200,1,0.037901878356933594,200
32,1,0.10378789901733398,7,1,0.04695320129394531,700,1,0.08550739288330078,800
64,1,0.13604068756103516,7,1,0.12716317176818848,2600,1,0.27267909049987793,3300
128,1,0.15978121757507324,6,1,0.4612274169921875,10500,1,1.0115966796875,12900
256,1,0.19339418411254883,6,1,4.631752014160156,41700,1,9.240906715393066,51400
512,1,0.24429011344909668,6,1,64.91898727416992,166700,1,132.50773668289185,205500
1024,1,0.40813779830932617,6,0,0.0,0,0,0.0,0
2048,1,0.9175879955291748,6,0,0.0,0,0,0.0,0
16,1,0.0900580883026123,6,1,0.02655482292175293,200,1,0.038004159927368164,200
32,1,0.11696481704711914,7,1,0.04690122604370117,700,1,0.0829002857208252,800
64,1,0.14512038230895996,7,1,0.12580347061157227,2600,1,0.26869702339172363,3300
128,1,0.146132230758667,6,1,0.4561035633087158,10500,1,0.9939205646514893,12900
256,1,0.19500994682312012,6,1,4.623511552810669,41700,1,9.237801313400269,51400
512,1,0.23392152786254883,6,1,64.8942756652832,166700,1,132.48474621772766,205500
1024,1,0.4021568298339844,6,0,0.0,0,0,0.0,0
2048,1,0.8991823196411133,6,0,0.0,0,0,0.0,0
16,1,0.08432149887084961,6,1,0.0262603759765625,200,1,0.03802084922790527,200
32,1,0.1033329963684082,7,1,0.0467984676361084,700,1,0.08410000801086426,800
64,1,0.14243435859680176,7,1,0.1268174648284912,2600,1,0.2720496654510498,3300
128,1,0.15946698188781738,6,1,0.4600381851196289,10500,1,1.0266735553741455,12900
256,1,0.20093703269958496,6,1,4.618207216262817,41700,1,9.238375186920166,51400
512,1,0.23083996772766113,6,1,64.89462208747864,166700,1,132.5126187801361,205500
1024,1,0.3927772045135498,6,0,0.0,0,0,0.0,0
2048,1,0.8964686393737793,6,0,0.0,0,0,0.0,0
