dim,multigrid_converged,multigrid_time,multigrid_iterations,standard_converged,standard_time,standard_iterations,relaxed_converged,relaxed_time,relaxed_iterations
16,1,23.77953600883484,10,1,0.06815624237060547,200,1,0.08936929702758789,300
32,1,0.10115885734558105,11,1,0.10100317001342773,800,1,0.14955973625183105,1000
64,1,0.12756776809692383,11,1,0.2090916633605957,3200,1,5.775148630142212,4000
128,1,0.1503441333770752,11,1,0.5956313610076904,12800,1,1.2368991374969482,15700
256,1,0.17245769500732422,11,1,5.706042766571045,50900,1,11.349836587905884,62700
512,1,0.2541358470916748,11,1,79.24524736404419,203400,1,161.58351063728333,250800
1024,1,0.5958888530731201,11,0,0.0,0,0,0.0,0
2048,1,1.9490845203399658,11,0,0.0,0,0,0.0,0
16,1,0.08498907089233398,10,1,0.051262855529785156,200,1,0.06786942481994629,300
32,1,0.10883569717407227,11,1,0.10115885734558105,800,1,0.14969396591186523,1000
64,1,0.1283283233642578,11,1,0.20946264266967773,3200,1,0.3584616184234619,4000
128,1,0.15105152130126953,11,1,0.5950863361358643,12800,1,1.2533719539642334,15700
256,1,0.1740875244140625,11,1,5.713566780090332,50900,1,11.350966930389404,62700
512,1,0.25704360008239746,11,1,79.25999855995178,203400,1,161.60506057739258,250800
1024,1,0.5952818393707275,11,0,0.0,0,0,0.0,0
2048,1,1.9425511360168457,11,0,0.0,0,0,0.0,0
16,1,0.08818316459655762,10,1,0.05150866508483887,200,1,0.06829833984375,300
32,1,0.10898351669311523,11,1,0.10056877136230469,800,1,0.1488802433013916,1000
64,1,0.13065266609191895,11,1,0.21218395233154297,3200,1,0.36316418647766113,4000
128,1,0.15063810348510742,11,1,0.5976419448852539,12800,1,1.242929458618164,15700
256,1,0.1811199188232422,11,1,5.732203006744385,50900,1,11.352897644042969,62700
512,1,0.2551238536834717,11,1,79.26501035690308,203400,1,161.58209991455078,250800
1024,1,0.5919904708862305,11,0,0.0,0,0,0.0,0
2048,1,1.950960397720337,11,0,0.0,0,0,0.0,0
16,1,0.08010578155517578,10,1,0.05085134506225586,200,1,0.06771683692932129,300
32,1,0.10207772254943848,11,1,0.1009056568145752,800,1,0.14986109733581543,1000
64,1,0.1216883659362793,11,1,0.21158432960510254,3200,1,0.36849260330200195,4000
128,1,0.15007710456848145,11,1,0.592900276184082,12800,1,1.2314519882202148,15700
256,1,0.18192410469055176,11,1,5.700388669967651,50900,1,11.34885835647583,62700
512,1,0.251453161239624,11,1,79.26362204551697,203400,1,161.57411551475525,250800
1024,1,0.6054251194000244,11,0,0.0,0,0,0.0,0
2048,1,1.952089786529541,11,0,0.0,0,0,0.0,0
16,1,0.07921719551086426,10,1,0.0513458251953125,200,1,0.0684821605682373,300
32,1,0.10739493370056152,11,1,0.10075926780700684,800,1,0.14898157119750977,1000
64,1,0.1289656162261963,11,1,0.2095050811767578,3200,1,0.3606843948364258,4000
128,1,0.14973211288452148,11,1,0.5948905944824219,12800,1,1.241896390914917,15700
256,1,0.18251943588256836,11,1,5.719562768936157,50900,1,11.3510103225708,62700
512,1,0.2576744556427002,11,1,79.27785420417786,203400,1,161.58531403541565,250800
1024,1,0.5997333526611328,11,0,0.0,0,0,0.0,0
2048,1,1.9458363056182861,11,0,0.0,0,0,0.0,0
