dim,multigrid_converged,multigrid_time,multigrid_iterations,standard_converged,standard_time,standard_iterations,relaxed_converged,relaxed_time,relaxed_iterations
16,1,2.781994581222534,18,1,17.91187334060669,400,1,0.06101870536804199,500
32,1,0.13643980026245117,19,1,0.08404731750488281,1600,1,0.16710877418518066,1900
64,1,0.182847261428833,20,1,0.2711811065673828,6100,1,0.5838432312011719,7500
128,1,0.2162950038909912,21,1,1.0417115688323975,24400,1,2.3029515743255615,30000
256,1,0.2738609313964844,21,1,10.731744050979614,97400,1,21.544480562210083,120000
512,1,0.3692147731781006,21,1,151.62813019752502,389500,1,309.3613221645355,480000
1024,1,0.7980794906616211,21,0,0.0,0,0,0.0,0
2048,1,2.372884750366211,21,0,0.0,0,0,0.0,0
16,1,0.11225056648254395,18,1,0.03451895713806152,400,1,0.05999946594238281,500
32,1,0.14673233032226562,19,1,0.08476805686950684,1600,1,0.1657261848449707,1900
64,1,0.1818068027496338,20,1,0.2707221508026123,6100,1,0.5844955444335938,7500
128,1,0.19503569602966309,21,1,1.0449151992797852,24400,1,2.3038415908813477,30000
256,1,0.2621617317199707,21,1,10.725940227508545,97400,1,21.545835494995117,120000
512,1,0.3631434440612793,21,1,151.64096188545227,389500,1,309.342139005661,480000
1024,1,0.8006019592285156,21,0,0.0,0,0,0.0,0
2048,1,2.369885206222534,21,0,0.0,0,0,0.0,0
16,1,0.1115415096282959,18,1,0.034209251403808594,400,1,0.05996441841125488,500
32,1,0.14113211631774902,19,1,0.09230232238769531,1600,1,0.19746994972229004,1900
64,1,0.1763932704925537,20,1,0.2738370895385742,6100,1,0.595872163772583,7500
128,1,0.21287894248962402,21,1,1.0275287628173828,24400,1,2.266169309616089,30000
256,1,0.2645270824432373,21,1,10.722618579864502,97400,1,21.535568475723267,120000
512,1,0.3525834083557129,21,1,151.6007673740387,389500,1,309.36431336402893,480000
1024,1,0.7805609703063965,21,0,0.0,0,0,0.0,0
2048,1,2.373844861984253,21,0,0.0,0,0,0.0,0
16,1,0.11274242401123047,18,1,0.03405904769897461,400,1,0.06011676788330078,500
32,1,0.1353592872619629,19,1,0.08411860466003418,1600,1,0.1665496826171875,1900
64,1,0.1815648078918457,20,1,0.2719583511352539,6100,1,0.5844154357910156,7500
128,1,0.2198958396911621,21,1,1.0408635139465332,24400,1,2.304948568344116,30000
256,1,0.25767064094543457,21,1,10.728417158126831,97400,1,21.541696310043335,120000
512,1,0.34841394424438477,21,1,151.59543752670288,389500,1,309.3553578853607,480000
1024,1,0.7807071208953857,21,0,0.0,0,0,0.0,0
2048,1,2.3599891662597656,21,0,0.0,0,0,0.0,0
16,1,0.11164450645446777,18,1,0.03438162803649902,400,1,0.059906959533691406,500
32,1,0.14368057250976562,19,1,0.08539772033691406,1600,1,0.16578221321105957,1900
64,1,0.17995023727416992,20,1,0.27715206146240234,6100,1,0.6074249744415283,7500
128,1,0.19359278678894043,21,1,1.0326590538024902,24400,1,2.2859413623809814,30000
256,1,0.2646188735961914,21,1,10.720396280288696,97400,1,21.53427743911743,120000
512,1,0.36449527740478516,21,1,151.60463118553162,389500,1,309.36981081962585,480000
1024,1,0.7586557865142822,21,0,0.0,0,0,0.0,0
2048,1,2.3623034954071045,21,0,0.0,0,0,0.0,0
