dim,multigrid_converged,multigrid_time,multigrid_iterations,standard_converged,standard_time,standard_iterations,relaxed_converged,relaxed_time,relaxed_iterations
16,1,10.403323888778687,17,1,17.694319009780884,500,1,0.06896686553955078,600
32,1,0.14759469032287598,18,1,0.09411954879760742,1700,1,0.19505858421325684,2100
64,1,0.17795610427856445,19,1,0.3012521266937256,6800,1,0.652472734451294,8400
128,1,0.2080214023590088,19,1,1.234877109527588,27100,1,2.788612127304077,33400
256,1,0.23563098907470703,20,1,11.915425300598145,108300,1,23.949573516845703,133400
512,1,0.34015536308288574,20,1,168.57298064231873,433100,0,322.20116806030273,499999
1024,1,0.742175817489624,20,0,0.0,0,0,0.0,0
2048,1,2.2686808109283447,20,0,0.0,0,0,0.0,0
16,1,0.10944819450378418,17,1,0.0385594367980957,500,1,0.06783652305603027,600
32,1,0.1421661376953125,18,1,0.0876457691192627,1700,1,0.18105411529541016,2100
64,1,0.15810680389404297,19,1,0.29686689376831055,6800,1,0.6480655670166016,8400
128,1,0.20319199562072754,19,1,1.1443424224853516,27100,1,2.546720266342163,33400
256,1,0.2336723804473877,20,1,11.922759771347046,108300,1,23.9551784992218,133400
512,1,0.3508942127227783,20,1,168.59376978874207,433100,0,322.16413950920105,499999
1024,1,0.7432329654693604,20,0,0.0,0,0,0.0,0
2048,1,2.293837785720825,20,0,0.0,0,0,0.0,0
16,1,0.1086421012878418,17,1,0.038393497467041016,500,1,0.06749653816223145,600
32,1,0.14482641220092773,18,1,0.08914709091186523,1700,1,0.18182969093322754,2100
64,1,0.17791390419006348,19,1,0.30231761932373047,6800,1,0.66107177734375,8400
128,1,0.20624756813049316,19,1,1.148475170135498,27100,1,2.5548830032348633,33400
256,1,0.24416661262512207,20,1,11.93409252166748,108300,1,23.93440341949463,133400
512,1,0.35369133949279785,20,1,168.59070658683777,433100,0,322.18936014175415,499999
1024,1,0.76084303855896,20,0,0.0,0,0,0.0,0
2048,1,2.2606258392333984,20,0,0.0,0,0,0.0,0
16,1,0.09821152687072754,17,1,0.038659095764160156,500,1,0.06745672225952148,600
32,1,0.13955926895141602,18,1,0.08838462829589844,1700,1,0.18186020851135254,2100
64,1,0.17853522300720215,19,1,0.30350184440612793,6800,1,0.6575241088867188,8400
128,1,0.20707249641418457,19,1,1.2478013038635254,27100,1,2.6430633068084717,33400
256,1,0.25895118713378906,20,1,11.94058895111084,108300,1,23.952626943588257,133400
512,1,0.35854315757751465,20,1,168.58668732643127,433100,0,322.193106174469,499999
1024,1,0.7317876815795898,20,0,0.0,0,0,0.0,0
2048,1,2.24859356880188,20,0,0.0,0,0,0.0,0
16,1,0.11395478248596191,17,1,0.03927445411682129,500,1,0.06837987899780273,600
32,1,0.12882518768310547,18,1,0.09053254127502441,1700,1,0.18807482719421387,2100
64,1,0.17603421211242676,19,1,0.300137996673584,6800,1,0.6493575572967529,8400
128,1,0.2017524242401123,19,1,1.1437249183654785,27100,1,2.5351345539093018,33400
256,1,0.252535343170166,20,1,11.915178060531616,108300,1,23.950759410858154,133400
512,1,0.3361091613769531,20,1,168.58537673950195,433100,0,322.1492278575897,499999
1024,1,0.7700610160827637,20,0,0.0,0,0,0.0,0
2048,1,2.278604745864868,20,0,0.0,0,0,0.0,0
