dim,multigrid_converged,multigrid_time,multigrid_iterations,standard_converged,standard_time,standard_iterations,relaxed_converged,relaxed_time,relaxed_iterations
16,1,10.43382978439331,7,1,21.821873903274536,200,1,0.038629770278930664,200
32,1,0.11504840850830078,7,1,0.042876482009887695,600,1,0.08475732803344727,800
64,1,0.13603830337524414,7,1,0.12230110168457031,2500,1,0.24881911277770996,3000
128,1,0.16609930992126465,7,1,0.42512011528015137,9700,1,0.9230897426605225,12000
256,1,0.2037947177886963,7,1,4.303110599517822,38700,1,8.574278831481934,47700
512,1,0.24919605255126953,7,1,60.205912828445435,154600,1,122.90560388565063,190600
1024,1,0.4410381317138672,7,0,0.0,0,0,0.0,0
2048,1,1.024688482284546,7,0,0.0,0,0,0.0,0
16,1,0.09003281593322754,7,1,0.026102542877197266,200,1,0.03787589073181152,200
32,1,0.10870885848999023,7,1,0.04253554344177246,600,1,0.08345341682434082,800
64,1,0.14364051818847656,7,1,0.1216425895690918,2500,1,0.25045323371887207,3000
128,1,0.17011737823486328,7,1,0.42216062545776367,9700,1,0.9377057552337646,12000
256,1,0.18063735961914062,7,1,4.282418251037598,38700,1,8.574911117553711,47700
512,1,0.2535591125488281,7,1,60.18849849700928,154600,1,122.86404228210449,190600
1024,1,0.43729257583618164,7,0,0.0,0,0,0.0,0
2048,1,1.0095288753509521,7,0,0.0,0,0,0.0,0
16,1,0.09349179267883301,7,1,0.026299238204956055,200,1,0.03826570510864258,200
32,1,0.11355948448181152,7,1,0.042768239974975586,600,1,0.08393216133117676,800
64,1,0.14500927925109863,7,1,0.12198066711425781,2500,1,0.24739956855773926,3000
128,1,0.15920257568359375,7,1,0.4293081760406494,9700,1,0.9432165622711182,12000
256,1,0.20241761207580566,7,1,4.291581869125366,38700,1,8.580098390579224,47700
512,1,0.23279070854187012,7,1,60.18397569656372,154600,1,122.8531379699707,190600
1024,1,0.4017322063446045,7,0,0.0,0,0,0.0,0
2048,1,1.002882719039917,7,0,0.0,0,0,0.0,0
16,1,0.09053587913513184,7,1,0.026611328125,200,1,0.03859424591064453,200
32,1,0.10934782028198242,7,1,0.0426638126373291,600,1,0.08609914779663086,800
64,1,0.14625978469848633,7,1,0.12588739395141602,2500,1,0.2509922981262207,3000
128,1,0.15114784240722656,7,1,0.42208409309387207,9700,1,0.9192850589752197,12000
256,1,0.20044684410095215,7,1,4.29428768157959,38700,1,8.57480502128601,47700
512,1,0.24758076667785645,7,1,60.19912791252136,154600,1,122.87936854362488,190600
1024,1,0.4346284866333008,7,0,0.0,0,0,0.0,0
2048,1,1.0082602500915527,7,0,0.0,0,0,0.0,0
16,1,0.09103250503540039,7,1,0.025953292846679688,200,1,0.037573814392089844,200
32,1,0.11618232727050781,7,1,0.042937517166137695,600,1,0.08477020263671875,800
64,1,0.14373302459716797,7,1,0.12455224990844727,2500,1,0.2583026885986328,3000
128,1,0.150038480758667,7,1,0.42786169052124023,9700,1,0.9404144287109375,12000
256,1,0.2025001049041748,7,1,4.293571472167969,38700,1,8.575082540512085,47700
512,1,0.23296713829040527,7,1,60.19969820976257,154600,1,123.06836533546448,190600
1024,1,0.40369439125061035,7,0,0.0,0,0,0.0,0
2048,1,1.000927209854126,7,0,0.0,0,0,0.0,0
