dim,multigrid_converged,multigrid_time,multigrid_iterations,standard_converged,standard_time,standard_iterations,relaxed_converged,relaxed_time,relaxed_iterations
16,1,18.88115620613098,8,1,0.06763601303100586,200,1,0.08097434043884277,200
32,1,0.0925741195678711,8,1,0.08849048614501953,500,1,0.11995291709899902,600
64,1,0.10846281051635742,8,1,0.16123247146606445,2000,1,5.558187007904053,2400
128,1,0.13332414627075195,8,1,0.38355183601379395,7700,1,0.7735633850097656,9500
256,1,0.16129088401794434,8,1,3.5252113342285156,30800,1,6.924805164337158,38000
512,1,0.2181234359741211,8,1,48.02818751335144,123100,1,97.89297413825989,151900
1024,1,0.47371792793273926,8,0,0.0,0,0,0.0,0
2048,1,1.4767279624938965,8,0,0.0,0,0,0.0,0
16,1,0.07917547225952148,8,1,0.051720380783081055,200,1,0.061197519302368164,200
32,1,0.09638261795043945,8,1,0.08834505081176758,500,1,0.11960053443908691,600
64,1,0.11449432373046875,8,1,0.1614680290222168,2000,1,0.2418968677520752,2400
128,1,0.13266611099243164,8,1,0.38366103172302246,7700,1,0.7839291095733643,9500
256,1,0.15114045143127441,8,1,3.5265116691589355,30800,1,6.922651767730713,38000
512,1,0.21488738059997559,8,1,48.031275510787964,123100,1,97.94703459739685,151900
1024,1,0.47536420822143555,8,0,0.0,0,0,0.0,0
2048,1,1.4806196689605713,8,0,0.0,0,0,0.0,0
16,1,0.07782602310180664,8,1,0.05062532424926758,200,1,0.06054377555847168,200
32,1,0.09619522094726562,8,1,0.08792281150817871,500,1,0.11848735809326172,600
64,1,0.10859346389770508,8,1,0.17043352127075195,2000,1,0.2652280330657959,2400
128,1,0.14417266845703125,8,1,0.4069089889526367,7700,1,0.8303961753845215,9500
256,1,0.1580650806427002,8,1,3.506314754486084,30800,1,6.922131538391113,38000
512,1,0.21805357933044434,8,1,48.02637529373169,123100,1,97.94177579879761,151900
1024,1,0.49111270904541016,8,0,0.0,0,0,0.0,0
2048,1,1.4870295524597168,8,0,0.0,0,0,0.0,0
16,1,0.07862114906311035,8,1,0.05120706558227539,200,1,0.060974836349487305,200
32,1,0.09664630889892578,8,1,0.08971023559570312,500,1,0.11933231353759766,600
64,1,0.11462140083312988,8,1,0.16064143180847168,2000,1,0.24219560623168945,2400
128,1,0.12523102760314941,8,1,0.3850584030151367,7700,1,0.7794194221496582,9500
256,1,0.15221953392028809,8,1,3.5261049270629883,30800,1,6.918642282485962,38000
512,1,0.21882891654968262,8,1,48.03171157836914,123100,1,98.0995225906372,151900
1024,1,0.4747035503387451,8,0,0.0,0,0,0.0,0
2048,1,1.4832406044006348,8,0,0.0,0,0,0.0,0
16,1,0.07445120811462402,8,1,0.05142664909362793,200,1,0.06180214881896973,200
32,1,0.0916891098022461,8,1,0.08882880210876465,500,1,0.1199798583984375,600
64,1,0.11487412452697754,8,1,0.1619892120361328,2000,1,0.2425527572631836,2400
128,1,0.1333611011505127,8,1,0.3828244209289551,7700,1,0.7766578197479248,9500
256,1,0.1580948829650879,8,1,3.513782262802124,30800,1,6.920308351516724,38000
512,1,0.216264009475708,8,1,48.03654217720032,123100,1,97.93867182731628,151900
1024,1,0.4723179340362549,8,0,0.0,0,0,0.0,0
2048,1,1.487865686416626,8,0,0.0,0,0,0.0,0
