dim,multigrid_converged,multigrid_time,multigrid_iterations,standard_converged,standard_time,standard_iterations,relaxed_converged,relaxed_time,relaxed_iterations
16,1,9.969120025634766,7,1,18.134836673736572,200,1,0.03911781311035156,200
32,1,0.11977601051330566,8,1,0.04318714141845703,600,1,0.07610154151916504,700
64,1,0.14228343963623047,8,1,0.11141204833984375,2200,1,0.23048758506774902,2700
128,1,0.16912102699279785,8,1,0.3822154998779297,8700,1,0.8263630867004395,10700
256,1,0.19779157638549805,8,1,3.8756115436553955,34800,1,7.71513819694519,42900
512,1,0.2566361427307129,8,1,54.14157009124756,139000,1,110.68190813064575,171400
1024,1,0.437546968460083,8,0,0.0,0,0,0.0,0
2048,1,1.0958199501037598,8,0,0.0,0,0,0.0,0
16,1,0.08147311210632324,7,1,0.026009798049926758,200,1,0.03778672218322754,200
32,1,0.11902737617492676,8,1,0.04280376434326172,600,1,0.07528328895568848,700
64,1,0.1446235179901123,8,1,0.11004805564880371,2200,1,0.22623491287231445,2700
128,1,0.16777706146240234,8,1,0.3967297077178955,8700,1,0.8292789459228516,10700
256,1,0.2048320770263672,8,1,3.8711135387420654,34800,1,7.716078996658325,42900
512,1,0.2507443428039551,8,1,54.11161184310913,139000,1,110.48613572120667,171400
1024,1,0.42613697052001953,8,0,0.0,0,0,0.0,0
2048,1,1.095351219177246,8,0,0.0,0,0,0.0,0
16,1,0.08900833129882812,7,1,0.02619647979736328,200,1,0.03777718544006348,200
32,1,0.11105561256408691,8,1,0.04275631904602051,600,1,0.07564854621887207,700
64,1,0.14412355422973633,8,1,0.10927581787109375,2200,1,0.22560405731201172,2700
128,1,0.1654057502746582,8,1,0.38019680976867676,8700,1,0.8311018943786621,10700
256,1,0.20206451416015625,8,1,3.866309404373169,34800,1,7.721925258636475,42900
512,1,0.25362491607666016,8,1,54.13374948501587,139000,1,110.67839550971985,171400
1024,1,0.47016072273254395,8,0,0.0,0,0,0.0,0
2048,1,1.0994977951049805,8,0,0.0,0,0,0.0,0
16,1,0.08081912994384766,7,1,0.026091337203979492,200,1,0.03780555725097656,200
32,1,0.11633181571960449,8,1,0.042697906494140625,600,1,0.07557106018066406,700
64,1,0.14752745628356934,8,1,0.10914349555969238,2200,1,0.2253725528717041,2700
128,1,0.1699819564819336,8,1,0.3782844543457031,8700,1,0.8202493190765381,10700
256,1,0.2045607566833496,8,1,3.8615870475769043,34800,1,7.7145280838012695,42900
512,1,0.2597692012786865,8,1,54.13381361961365,139000,1,110.51400351524353,171400
1024,1,0.4651916027069092,8,0,0.0,0,0,0.0,0
2048,1,1.1111509799957275,8,0,0.0,0,0,0.0,0
16,1,0.08172225952148438,7,1,0.026480436325073242,200,1,0.037859439849853516,200
32,1,0.12009191513061523,8,1,0.043129920959472656,600,1,0.07605862617492676,700
64,1,0.16914963722229004,8,1,0.11703228950500488,2200,1,0.23694825172424316,2700
128,1,0.16317486763000488,8,1,0.38149571418762207,8700,1,0.8220007419586182,10700
256,1,0.20561575889587402,8,1,3.868337392807007,34800,1,7.71483588218689,42900
512,1,0.2558584213256836,8,1,54.13516855239868,139000,1,110.57324242591858,171400
1024,1,0.4562671184539795,8,0,0.0,0,0,0.0,0
2048,1,1.113694667816162,8,0,0.0,0,0,0.0,0
