dim,multigrid_converged,multigrid_time,multigrid_iterations,standard_converged,standard_time,standard_iterations,relaxed_converged,relaxed_time,relaxed_iterations
16,1,23.36793327331543,10,1,0.07139420509338379,300,1,0.08842778205871582,300
32,1,0.09948182106018066,10,1,0.10546064376831055,900,1,0.15670132637023926,1100
64,1,0.12827038764953613,11,1,0.2278270721435547,3600,1,5.738042831420898,4400
128,1,0.1506333351135254,11,1,0.6585569381713867,14200,1,1.3891336917877197,17500
256,1,0.18184614181518555,11,1,6.340905666351318,56600,1,12.624509811401367,69800
512,1,0.2565042972564697,11,1,88.13418412208557,226200,1,180.07208919525146,278900
1024,1,0.5958516597747803,11,0,0.0,0,0,0.0,0
2048,1,1.9396240711212158,11,0,0.0,0,0,0.0,0
16,1,0.08147072792053223,10,1,0.056626319885253906,300,1,0.06757783889770508,300
32,1,0.1041719913482666,10,1,0.10520625114440918,900,1,0.15793085098266602,1100
64,1,0.1285266876220703,11,1,0.22633123397827148,3600,1,0.38758373260498047,4400
128,1,0.14142584800720215,11,1,0.6582887172698975,14200,1,1.3943333625793457,17500
256,1,0.18230009078979492,11,1,6.344704866409302,56600,1,12.625294208526611,69800
512,1,0.25315403938293457,11,1,88.15204310417175,226200,1,179.88378882408142,278900
1024,1,0.5983335971832275,11,0,0.0,0,0,0.0,0
2048,1,1.9427828788757324,11,0,0.0,0,0,0.0,0
16,1,0.0802764892578125,10,1,0.056311845779418945,300,1,0.06934523582458496,300
32,1,0.10630226135253906,10,1,0.10553336143493652,900,1,0.1574540138244629,1100
64,1,0.12811779975891113,11,1,0.22601771354675293,3600,1,0.3919975757598877,4400
128,1,0.15036606788635254,11,1,0.6510963439941406,14200,1,1.385702133178711,17500
256,1,0.18258309364318848,11,1,6.329458236694336,56600,1,12.62128210067749,69800
512,1,0.25893139839172363,11,1,88.14258742332458,226200,1,179.84177899360657,278900
1024,1,0.6093118190765381,11,0,0.0,0,0,0.0,0
2048,1,1.9451653957366943,11,0,0.0,0,0,0.0,0
16,1,0.07933831214904785,10,1,0.05515146255493164,300,1,0.06819367408752441,300
32,1,0.1063847541809082,10,1,0.10558795928955078,900,1,0.15793609619140625,1100
64,1,0.12895894050598145,11,1,0.22862815856933594,3600,1,0.3945636749267578,4400
128,1,0.15208029747009277,11,1,0.6542291641235352,14200,1,1.379854679107666,17500
256,1,0.18323516845703125,11,1,6.332936525344849,56600,1,12.626759767532349,69800
512,1,0.2531611919403076,11,1,88.12174320220947,226200,1,179.70884680747986,278900
1024,1,0.6003246307373047,11,0,0.0,0,0,0.0,0
2048,1,1.9480624198913574,11,0,0.0,0,0,0.0,0
16,1,0.0846560001373291,10,1,0.05483841896057129,300,1,0.0679323673248291,300
32,1,0.10573458671569824,10,1,0.10506582260131836,900,1,0.15715765953063965,1100
64,1,0.1214759349822998,11,1,0.22729253768920898,3600,1,0.39223194122314453,4400
128,1,0.15073704719543457,11,1,0.6620461940765381,14200,1,1.393263339996338,17500
256,1,0.17922306060791016,11,1,6.351861953735352,56600,1,12.627861261367798,69800
512,1,0.2554450035095215,11,1,88.14986968040466,226200,1,179.6992485523224,278900
1024,1,0.5918481349945068,11,0,0.0,0,0,0.0,0
2048,1,1.951930046081543,11,0,0.0,0,0,0.0,0
