dim,multigrid_converged,multigrid_time,multigrid_iterations,standard_converged,standard_time,standard_iterations,relaxed_converged,relaxed_time,relaxed_iterations
16,1,0.10361528396606445,11,1,0.026160001754760742,200,1,0.04535198211669922,300
32,1,0.12628483772277832,12,1,0.05087447166442871,800,1,0.09030890464782715,900
64,1,0.1538095474243164,12,1,0.13909125328063965,2900,1,0.2891247272491455,3500
128,1,0.16611146926879883,12,1,0.4856846332550049,11300,1,1.0607867240905762,13900
256,1,0.22332549095153809,12,1,4.9971864223480225,45100,1,9.990765810012817,55600
512,1,0.2944474220275879,12,1,70.17665886878967,180300,1,143.39721179008484,222500
1024,1,0.5648212432861328,12,0,0.0,0,0,0.0,0
2048,1,1.4894471168518066,12,0,0.0,0,0,0.0,0
16,1,0.08799934387207031,11,1,0.026095151901245117,200,1,0.04504084587097168,300
32,1,0.12985968589782715,12,1,0.051596641540527344,800,1,0.09158897399902344,900
64,1,0.15622925758361816,12,1,0.13916873931884766,2900,1,0.2845332622528076,3500
128,1,0.1862344741821289,12,1,0.4880869388580322,11300,1,1.0558948516845703,13900
256,1,0.199721097946167,12,1,4.998745918273926,45100,1,9.990386486053467,55600
512,1,0.293978214263916,12,1,70.18426728248596,180300,1,143.42165231704712,222500
1024,1,0.557628870010376,12,0,0.0,0,0,0.0,0
2048,1,1.4766616821289062,12,0,0.0,0,0,0.0,0
16,1,0.09909319877624512,11,1,0.02597498893737793,200,1,0.04530930519104004,300
32,1,0.12927603721618652,12,1,0.0509190559387207,800,1,0.0910336971282959,900
64,1,0.15698003768920898,12,1,0.1387484073638916,2900,1,0.2865889072418213,3500
128,1,0.16743898391723633,12,1,0.4917628765106201,11300,1,1.0669188499450684,13900
256,1,0.20069384574890137,12,1,4.98556113243103,45100,1,9.99409532546997,55600
512,1,0.29349565505981445,12,1,70.20775628089905,180300,1,143.41962265968323,222500
1024,1,0.5871391296386719,12,0,0.0,0,0,0.0,0
2048,1,1.5070276260375977,12,0,0.0,0,0,0.0,0
16,1,0.09751033782958984,11,1,0.026280879974365234,200,1,0.04522061347961426,300
32,1,0.12836432456970215,12,1,0.05157661437988281,800,1,0.09218788146972656,900
64,1,0.15740418434143066,12,1,0.1384568214416504,2900,1,0.28466343879699707,3500
128,1,0.17450857162475586,12,1,0.49450016021728516,11300,1,1.076509952545166,13900
256,1,0.20223045349121094,12,1,4.992905378341675,45100,1,9.99265193939209,55600
512,1,0.2947258949279785,12,1,70.19569253921509,180300,1,143.43282341957092,222500
1024,1,0.5562648773193359,12,0,0.0,0,0,0.0,0
2048,1,1.4961860179901123,12,0,0.0,0,0,0.0,0
16,1,0.09834575653076172,11,1,0.026157617568969727,200,1,0.04567217826843262,300
32,1,0.11608386039733887,12,1,0.05121588706970215,800,1,0.0911097526550293,900
64,1,0.16090631484985352,12,1,0.14104986190795898,2900,1,0.3120603561401367,3500
128,1,0.1669473648071289,12,1,0.49196290969848633,11300,1,1.0684864521026611,13900
256,1,0.2238483428955078,12,1,4.984788656234741,45100,1,9.993443489074707,55600
512,1,0.27075982093811035,12,1,70.2027759552002,180300,1,143.4069082736969,222500
1024,1,0.5632345676422119,12,0,0.0,0,0,0.0,0
2048,1,1.508284568786621,12,0,0.0,0,0,0.0,0
