dim,multigrid_converged,multigrid_time,multigrid_iterations,standard_converged,standard_time,standard_iterations,relaxed_converged,relaxed_time,relaxed_iterations
16,1,18.37702250480652,7,1,0.06792593002319336,200,1,0.08187246322631836,200
32,1,0.08853554725646973,7,1,0.0938572883605957,600,1,0.1349811553955078,800
64,1,0.10348916053771973,7,1,0.18213415145874023,2500,1,5.637356996536255,3000
128,1,0.12750720977783203,7,1,0.46543073654174805,9700,1,0.9717230796813965,12000
256,1,0.1620180606842041,7,1,4.391796112060547,38700,1,8.674436330795288,47700
512,1,0.2040255069732666,7,1,60.29072451591492,154600,1,123.12482810020447,190600
1024,1,0.4507637023925781,7,0,0.0,0,0,0.0,0
2048,1,1.3233163356781006,7,0,0.0,0,0,0.0,0
16,1,0.0752420425415039,7,1,0.05095791816711426,200,1,0.06058907508850098,200
32,1,0.0926358699798584,7,1,0.09308099746704102,600,1,0.13403820991516113,800
64,1,0.10978984832763672,7,1,0.18267035484313965,2500,1,0.28558897972106934,3000
128,1,0.1286916732788086,7,1,0.49220800399780273,9700,1,0.9799215793609619,12000
256,1,0.16077709197998047,7,1,4.385560750961304,38700,1,8.660009622573853,47700
512,1,0.20375895500183105,7,1,60.30046343803406,154600,1,123.07152652740479,190600
1024,1,0.4372673034667969,7,0,0.0,0,0,0.0,0
2048,1,1.3292591571807861,7,0,0.0,0,0,0.0,0
16,1,0.07772183418273926,7,1,0.05176281929016113,200,1,0.06108355522155762,200
32,1,0.08811593055725098,7,1,0.0932767391204834,600,1,0.13505101203918457,800
64,1,0.11064267158508301,7,1,0.18324804306030273,2500,1,0.28630924224853516,3000
128,1,0.12228226661682129,7,1,0.48532891273498535,9700,1,1.0499911308288574,12000
256,1,0.1660447120666504,7,1,4.37827730178833,38700,1,8.661313533782959,47700
512,1,0.20731854438781738,7,1,60.289979219436646,154600,1,122.8144600391388,190600
1024,1,0.44498634338378906,7,0,0.0,0,0,0.0,0
2048,1,1.3307247161865234,7,0,0.0,0,0,0.0,0
16,1,0.07481002807617188,7,1,0.05098247528076172,200,1,0.060501813888549805,200
32,1,0.0926976203918457,7,1,0.0923757553100586,600,1,0.1343231201171875,800
64,1,0.11127066612243652,7,1,0.1825270652770996,2500,1,0.28804945945739746,3000
128,1,0.12079334259033203,7,1,0.4625675678253174,9700,1,0.9588027000427246,12000
256,1,0.15033292770385742,7,1,4.379260540008545,38700,1,8.674789905548096,47700
512,1,0.20581388473510742,7,1,60.26471924781799,154600,1,123.06861448287964,190600
1024,1,0.454326868057251,7,0,0.0,0,0,0.0,0
2048,1,1.3249404430389404,7,0,0.0,0,0,0.0,0
16,1,0.07151317596435547,7,1,0.05157637596130371,200,1,0.06068706512451172,200
32,1,0.09215974807739258,7,1,0.09222936630249023,600,1,0.13384747505187988,800
64,1,0.10926675796508789,7,1,0.18182992935180664,2500,1,0.28499817848205566,3000
128,1,0.1290442943572998,7,1,0.48435068130493164,9700,1,0.9930117130279541,12000
256,1,0.15123724937438965,7,1,4.377233505249023,38700,1,8.657045841217041,47700
512,1,0.20608735084533691,7,1,60.291715145111084,154600,1,122.87560391426086,190600
1024,1,0.4527778625488281,7,0,0.0,0,0,0.0,0
2048,1,1.3205559253692627,7,0,0.0,0,0,0.0,0
